name,google_scholar,title,link,authors,publication_info,citation,year
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,Assigning lifetime occupation domains for older Mexicans: MHAS-O* NET linkage protocol,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:WA5NYHcadZ8C,"CY Li, E Aguila, P Arthur, J Peniche, M Gutiérrez, M Hernández, R Wong","salud pública de méxico 65 (5, sept-oct), 425-433, 2023",,2023
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,Determinants of retirement of formal and informal sector workers in Mexico: the role of health and economic security,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:bnK-pcrLprsC,"Z Lee, E Aguila, R Wong","salud pública de méxico 65 (5, sept-oct), 434-445, 2023",,2023
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,20 years of the Mexican Health and Aging Study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:J-pR_7NvFogC,"R Wong, C García-Peña, LM Gutiérrez-Robledo, E Aguila, ...","Salud Pública de México 65 (5, sept-oct), 423-424, 2023",,2023
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,The association of English-Spanish and Indigenous-Spanish bilingualism with cognition among older adults in the Mexican Health and Aging Study (MHAS),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:V3AGJWp-ZtQC,"MA Renteria, S Petrosyan, J Saenz, SM Arango, E Aguila, S Barral, ...","Alzheimer's Association International Conference, 2023",,2023
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,The value of Medicare coverage on depressive symptoms among older immigrants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:kRWSkSYxWN8C,"H Jun, S Mattke, A Chen, E Aguila","The Gerontologist, gnad070, 2023",,2023
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,"Migration, work, and retirement: the case of Mexican-origin populations",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:B3FOqHPlNUQC,"E Aguila, Z Lee, R Wong","Journal of pension economics & finance 22 (2), 167-187, 2023",4,2023
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,"Non-Contributory Pensions, Functional Limitations, and Unpaid Family Care for Older Adults in Mexico",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:VOx2b1Wkg3QC,"M López-Ortega, E Aguila","Journal of Aging and Health 34 (9-10), 1213-1227, 2022",,2022
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,Effects of Social Insurance Programs on Health Care Utilization of Middle-Aged and Older Adults,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:fQNAKQ3IYiAC,"E Aguila, WH Dow, SW Parker","PAA 2022 Annual Meeting, 2022",,2022
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,Work and Retirement for Older Black and Hispanic Adults,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:mvPsJ3kp5DgC,"E Aguila, Z Lee","Presentation at SSA RDRC Annual Meeting UM22-16, Michigan Retirement and …, 2022",1,2022
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,Impact of supplemental income on major depressive episodes of older adults in Mexico,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:vRqMK49ujn8C,"G Armenta, E Aguila, M López Ortega, S Mejía-Arango","Understanding the Context of Cognitive Aging: Mexico and the United States …, 2021",1,2021
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,Framing Challenges of Dementia and Mental Health Care in Mexican-origin Older Adults in Mexico and the United States: Consensus Agenda Findings and Recommendations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:08ZZubdj9fEC,"SM Grasso, F Andrade, M López Ortega, E Aguila","Understanding the Context of Cognitive Aging: Mexico and the United States …, 2021",,2021
Emma Aguila,https://scholar.google.com/citations?user=xfW8UvkAAAAJ&hl=en&oi=ao&pagesize=100&view_op=list_works&sortby=pubdate,The Conference Series on Aging in the Americas (CAA) and Emerging Scholars in the Field,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:tS2w5q8j5-wC,E Aguila,"Understanding the Context of Cognitive Aging: Mexico and the United States, 321, 2021",,2021
